Name,X Handle
Fabrizio Romano,@FabrizioRomano
David Ornstein,@David_Ornstein
Sam Lee,@SamLee
Paul Joyce,@_pauljoyce
Laurie Whitwell,@lauriewhitwell
Rob Dawson,@RobDawsonESPN
Luke Edwards,@LukeEdwardsTele
John Percy,@JPercyTelegraph
Craig Hope,@CraigHope_DM
Dean Jones,@DeanJonesSoccer
Gianluca Di Marzio,@DiMarzio
Alfredo Pedulla,@alfredopedulla
Raphael Honigstein,@honigstein
Keith Downie,@SkySports_Keith
Martin Hardy,@mhardysport
Chris Waugh,@ChrisDHWaugh
George Caulkin,@GeorgeCaulkin
@fabriziorom.bsky.social
